0,"[2253, 6199]","[3073.744680851064, 7449.377358490566]"
1,"[2253, 6199]","[2939.980769230769, 7091.729166666667]"
2,"[2253, 5877]","[2898.1666666666665, 6973.739130434783]"
3,"[2040, 5814]","[2705.2978723404253, 6896.226415094339]"
4,"[1992, 5814]","[2666.62, 6743.36]"
5,"[1992, 5814]","[2585.0588235294117, 6619.408163265306]"
6,"[1992, 5772]","[2499.921568627451, 6514.142857142857]"
7,"[1836, 5762]","[2468.18, 6490.88]"
8,"[1836, 5602]","[2365.9583333333335, 6414.365384615385]"
9,"[1828, 5602]","[2213.8958333333335, 6281.461538461538]"
10,"[1828, 5602]","[2303.6, 6140.84]"
11,"[1828, 5602]","[2272.1153846153848, 6011.854166666667]"
12,"[1828, 5381]","[2248.38, 5935.5]"
13,"[1828, 5381]","[2233.24, 5967.48]"
14,"[1828, 5381]","[2239.6875, 6023.961538461538]"
15,"[1828, 5381]","[2286.730769230769, 5921.3125]"
16,"[1828, 5381]","[2259.277777777778, 5914.5]"
17,"[1828, 5324]","[2207.28, 5956.58]"
18,"[1828, 5324]","[2124.8260869565215, 6074.7962962962965]"
19,"[1828, 5324]","[2278.8333333333335, 5825.391304347826]"
20,"[1828, 5324]","[2166.7818181818184, 5838.2]"
21,"[1828, 5324]","[2145.48, 5859.16]"
22,"[1828, 5324]","[2234.6792452830186, 5865.659574468085]"
23,"[1828, 5324]","[2271.9803921568628, 5799.9795918367345]"
24,"[1811, 5324]","[2238.9803921568628, 5860.285714285715]"
25,"[1811, 5324]","[2237.2, 5879.22]"
26,"[1811, 5324]","[2230.203703703704, 5790.782608695652]"
27,"[1811, 5324]","[2200.846153846154, 5859.604166666667]"
28,"[1811, 5324]","[2196.75, 5891.173076923077]"
29,"[1811, 5324]","[2267.16, 5925.22]"
30,"[1811, 5324]","[2228.3673469387754, 5967.078431372549]"
31,"[1811, 5324]","[2222.826923076923, 5842.458333333333]"
32,"[1811, 5324]","[2145.0222222222224, 6160.527272727273]"
33,"[1811, 5324]","[2175.7872340425533, 5988.679245283019]"
34,"[1811, 5324]","[2278.0833333333335, 5986.884615384615]"
35,"[1811, 5324]","[2225.081632653061, 5948.235294117647]"
36,"[1811, 5324]","[2219.5686274509803, 5853.959183673469]"
37,"[1811, 5324]","[2237.326530612245, 6027.78431372549]"
38,"[1811, 5324]","[2306.019230769231, 5873.8125]"
39,"[1811, 5324]","[2303.923076923077, 5938.583333333333]"
40,"[1811, 5324]","[2258.04, 6014.2]"
41,"[1811, 5324]","[2194.5714285714284, 6102.058823529412]"
42,"[1811, 5324]","[2347.0196078431372, 6078.265306122449]"
43,"[1811, 5324]","[2282.0196078431372, 5997.693877551021]"
44,"[1811, 5324]","[2259.3584905660377, 5850.468085106383]"
45,"[1811, 5324]","[2327.3454545454547, 5832.955555555555]"
46,"[1811, 5324]","[2235.259259259259, 2179616.2608695654]"
47,"[1811, 5324]","[2256.1346153846152, 5917.541666666667]"
48,"[1811, 5324]","[2278.02, 6035.78]"
49,"[1811, 5324]","[2254.423076923077, 5914.25]"
50,"[1811, 5324]","[2252.725490196078, 5901.857142857143]"
51,"[1811, 5324]","[2266.1923076923076, 5895.0625]"
52,"[1811, 5324]","[2223.0, 6002.48]"
53,"[1686, 5324]","[2264.6666666666665, 6009.571428571428]"
54,"[1686, 5324]","[2253.6470588235293, 5981.448979591837]"
55,"[1686, 5324]","[2111.96, 6027.16]"
56,"[1637, 5324]","[2214.88, 6021.2]"
57,"[1637, 5324]","[2273.8823529411766, 5980.102040816327]"
58,"[1637, 5324]","[2257.3, 5947.06]"
59,"[1637, 5324]","[2156.46, 5994.7]"
60,"[1637, 5324]","[2088.4, 6021.56]"
61,"[1637, 5324]","[2073.063829787234, 6106.377358490566]"
62,"[1637, 5324]","[2176.66, 6022.24]"
63,"[1637, 5324]","[2138.4, 5947.72]"
64,"[1637, 5324]","[2048.5833333333335, 6108.846153846154]"
65,"[1637, 5324]","[2068.74, 6040.36]"
66,"[1637, 5324]","[2127.0, 5866.255319148936]"
67,"[1637, 5324]","[2094.153846153846, 5922.354166666667]"
68,"[1637, 5324]","[2007.468085106383, 6163.943396226415]"
69,"[1637, 5324]","[2040.795918367347, 6004.333333333333]"
70,"[1589, 5324]","[2000.8775510204082, 6050.764705882353]"
71,"[1589, 5324]","[2001944.0, 6040.8]"
72,"[1589, 5324]","[2000.58, 6010.96]"
73,"[1589, 5324]","[1946.4489795918366, 6097.098039215686]"
74,"[1495, 5324]","[1903.4313725490197, 6111.2040816326535]"
75,"[1495, 5324]","[1943.3584905660377, 5897.68085106383]"
76,"[1495, 5324]","[1869.76, 6064.6]"
77,"[1495, 5324]","[1968.037037037037, 5845.04347826087]"
78,"[1495, 5324]","[1854.7843137254902, 6030.163265306122]"
79,"[1495, 5324]","[1727.3877551020407, 6018.0]"
