0,"[1607, 5785]","[2191.591836734694, 7457.235294117647]"
1,"[1607, 5785]","[2045.4285714285713, 7258.686274509804]"
2,"[1607, 5785]","[1925.5510204081634, 7076.117647058823]"
3,"[1607, 5785]","[1848.92, 6943.56]"
4,"[1607, 5785]","[1790.78, 6797.3]"
5,"[1598, 5785]","[1738.22, 6689.42]"
6,"[1575, 5437]","[1708.72, 6603.0]"
7,"[1515, 5437]","[1685.04, 6508.36]"
8,"[1458, 5437]","[1656.74, 6465.24]"
9,"[1406, 5437]","[1634.94, 6416.48]"
10,"[1269, 5437]","[1602.66, 6345.88]"
11,"[1269, 5437]","[1580.56, 6304.7]"
12,"[1269, 5437]","[1565.42, 6192.6]"
13,"[1269, 5437]","[1530.2, 6041.26]"
14,"[1269, 5437]","[1481.56, 5913.38]"
15,"[1269, 5437]","[1423.06, 5888.56]"
16,"[1269, 5437]","[1378.56, 5864.16]"
17,"[1269, 5437]","[1361.64, 5850.9]"
18,"[1269, 5437]","[1357.42, 5846.2]"
19,"[1269, 5437]","[1350.54, 5838.06]"
20,"[1269, 5437]","[1342.92, 5828.62]"
21,"[1269, 5437]","[1332.26, 5822.22]"
22,"[1269, 5437]","[1325.48, 5808.3]"
23,"[1089, 5437]","[1312.76, 5791.86]"
24,"[1089, 5437]","[1300.32, 5773.64]"
25,"[1089, 5437]","[1289.26, 5772.52]"
26,"[1089, 5437]","[1261.3, 5765.18]"
27,"[1089, 5437]","[1237.96, 5752.9]"
28,"[1089, 5437]","[1197.86, 5734.76]"
29,"[1089, 5214]","[1161.34, 5704.94]"
30,"[1089, 5214]","[1127.36, 5676.06]"
31,"[1089, 5214]","[1090.66, 5651.84]"
32,"[1089, 5214]","[1089.0, 5644.68]"
33,"[1089, 5214]","[1089.0, 5640.62]"
34,"[1089, 5214]","[1089.0, 5625.42]"
35,"[1089, 5214]","[1089.0, 5618.54]"
36,"[1089, 5214]","[1089.0, 5615.44]"
37,"[1089, 5214]","[1089.0, 5602.32]"
38,"[1089, 5214]","[1089.0, 5598.6]"
39,"[1086, 5214]","[1088.94, 5598.6]"
40,"[1086, 5214]","[1088.82, 5598.6]"
41,"[1086, 5214]","[1088.76, 5591.14]"
42,"[1086, 5214]","[1088.7, 5591.14]"
43,"[1086, 5214]","[1088.64, 5591.14]"
44,"[1086, 5214]","[1088.58, 5591.14]"
45,"[1047, 5214]","[1087.74, 5591.14]"
46,"[1047, 5214]","[1086.9, 5591.14]"
47,"[1047, 5214]","[1086.9, 5591.14]"
48,"[1047, 5214]","[1086.9, 5591.14]"
49,"[1047, 5214]","[1086.9, 5591.14]"
50,"[1047, 5214]","[1086.9, 5590.96]"
51,"[1047, 5214]","[1086.9, 5590.96]"
52,"[1047, 5214]","[1086.9, 5590.96]"
53,"[1047, 5214]","[1086.06, 5590.78]"
