0,"[2034, 6104]","[2270.32, 7141.62]"
1,"[1793, 5965]","[2154.843137254902, 6797.244897959184]"
2,"[1793, 5965]","[2082.36, 6609.74]"
3,"[1758, 5835]","[2000.94, 6445.98]"
4,"[1758, 5835]","[1926.4, 6375.72]"
5,"[1663, 5484]","[1875.64, 6287.96]"
6,"[1663, 5484]","[1832.28, 6234.22]"
7,"[1658, 5484]","[1797.76, 6190.4]"
8,"[1650, 5484]","[1771.6, 6158.28]"
9,"[1627, 5484]","[1749.94, 6111.0]"
10,"[1597, 5484]","[1729.8, 6041.64]"
11,"[1597, 5484]","[1706.72, 5981.52]"
12,"[1597, 5021]","[1690.68, 5920.86]"
13,"[1339, 5021]","[1661.32, 5882.76]"
14,"[1339, 5021]","[1635.1, 5847.14]"
15,"[1339, 5021]","[1622.74, 5781.76]"
16,"[1339, 5021]","[1605.04, 5737.48]"
17,"[1339, 5021]","[1574.54, 5713.58]"
18,"[1280, 5021]","[1533.2, 5671.88]"
19,"[1280, 5021]","[1506.24, 5649.54]"
20,"[1280, 5021]","[1500.64, 5612.62]"
21,"[1267, 5021]","[1493.04, 5608.0]"
22,"[1267, 5021]","[1485.44, 5602.36]"
23,"[1267, 5021]","[1469.18, 5592.84]"
24,"[1267, 5021]","[1454.5, 5588.3]"
25,"[1267, 5021]","[1427.08, 5583.96]"
26,"[1215, 5021]","[1400.36, 5579.52]"
27,"[1215, 5021]","[1371.74, 5577.46]"
28,"[1215, 5021]","[1336.38, 5575.58]"
29,"[1215, 5021]","[1312.44, 5573.24]"
30,"[1212, 5021]","[1299.86, 5573.24]"
31,"[1212, 5021]","[1296.68, 5573.24]"
32,"[1211, 5021]","[1290.74, 5573.24]"
33,"[1211, 5021]","[1285.12, 5573.24]"
34,"[1182, 5021]","[1279.04, 5573.24]"
35,"[1182, 5021]","[1276.5, 5573.24]"
36,"[1182, 5021]","[1271.62, 5573.24]"
37,"[1182, 5021]","[1266.98, 5573.24]"
38,"[1182, 5021]","[1262.3, 5573.24]"
39,"[1182, 5021]","[1262.2, 5573.24]"
40,"[1158, 5021]","[1259.86, 5571.02]"
41,"[1158, 5021]","[1259.86, 5571.02]"
42,"[1158, 5021]","[1258.7, 5571.02]"
43,"[1158, 5021]","[1258.7, 5571.02]"
44,"[1158, 5021]","[1258.7, 5571.02]"
45,"[1158, 5021]","[1258.7, 5571.02]"
46,"[1158, 5021]","[1258.7, 5571.02]"
47,"[1158, 5021]","[1258.7, 5571.02]"
48,"[1158, 5021]","[1258.7, 5568.44]"
49,"[1158, 5021]","[1258.7, 5566.56]"
50,"[1158, 5021]","[1258.24, 5564.32]"
51,"[1158, 5021]","[1257.3, 5564.32]"
52,"[1158, 5021]","[1256.22, 5562.44]"
53,"[1158, 5021]","[1255.14, 5562.44]"
54,"[1158, 5021]","[1254.06, 5562.44]"
55,"[1158, 5021]","[1251.9, 5560.36]"
56,"[1103, 5021]","[1247.92, 5560.36]"
