0,"[1777, 6650]","[2235.9555555555557, 7851.890909090909]"
1,"[1777, 6650]","[2115.553191489362, 7607.1509433962265]"
2,"[1761, 6650]","[2044.1538461538462, 7490.145833333333]"
3,"[1592, 6591]","[1934.52, 7385.8]"
4,"[1592, 6591]","[1849.0, 7251.235294117647]"
5,"[1475, 6591]","[1855.9166666666667, 7163.211538461538]"
6,"[1475, 6511]","[1738.787234042553, 7104.094339622641]"
7,"[1437, 6511]","[1710.5531914893618, 7117.490566037736]"
8,"[1342, 6287]","[1677.6458333333333, 7047.807692307692]"
9,"[1342, 6287]","[1597.8125, 7010.903846153846]"
10,"[1342, 6287]","[1575.16, 6842.42]"
11,"[1233, 6287]","[1541.921568627451, 6810.530612244898]"
12,"[1233, 6119]","[1552.3921568627452, 6854.591836734694]"
13,"[1233, 6119]","[1541.4313725490197, 6864.897959183673]"
14,"[1233, 6119]","[1508.7843137254902, 6892.938775510204]"
15,"[1233, 6119]","[1509.7272727272727, 6691.2444444444445]"
16,"[1233, 6119]","[1460.4117647058824, 6855.632653061224]"
17,"[1233, 6119]","[1460.86, 6842.88]"
18,"[1233, 6119]","[1444.06, 6775.6]"
19,"[1233, 6119]","[1437.76, 6779.08]"
20,"[1218, 6119]","[1493.2222222222222, 6700.717391304348]"
21,"[1218, 6119]","[1465.673076923077, 6729.291666666667]"
22,"[1218, 5807]","[1431.1, 6739.74]"
23,"[1218, 5807]","[1481.12, 6740.54]"
24,"[1218, 5807]","[1464.4, 6715.62]"
25,"[1218, 5807]","[1445.0816326530612, 6785.921568627451]"
26,"[1218, 5807]","[1442.52, 6782.0]"
27,"[1206, 5807]","[1447.2156862745098, 6759.122448979592]"
28,"[1206, 5807]","[1314.276595744681, 6816.301886792453]"
29,"[1206, 5807]","[1450.28, 6683.88]"
30,"[1206, 5807]","[1462.2264150943397, 6699.68085106383]"
31,"[1206, 5807]","[1400.3333333333333, 6721.061224489796]"
32,"[1206, 5807]","[1440.68, 6722.9]"
33,"[1206, 5807]","[1441.625, 6718.5]"
34,"[1206, 5807]","[1423.68, 6769.18]"
35,"[1206, 5807]","[1428.4117647058824, 6719.3877551020405]"
36,"[1206, 5807]","[1421.0384615384614, 6665.0]"
37,"[1206, 5807]","[1423.7962962962963, 6704.152173913043]"
38,"[1206, 5807]","[1370.4313725490197, 6764.34693877551]"
39,"[1206, 5807]","[1341.8163265306123, 6796.686274509804]"
40,"[1158, 5807]","[1360.3265306122448, 6729.803921568628]"
41,"[1158, 5807]","[1364.9019607843138, 6712.469387755102]"
