0,"[1655, 4957]","[2239.450980392157, 5846.571428571428]"
1,"[1655, 4957]","[2070.285714285714, 5662.294117647059]"
2,"[1241, 4810]","[1978.4285714285713, 5549.823529411765]"
3,"[1241, 4606]","[1924.14, 5394.4]"
4,"[1241, 4606]","[1855.34, 5309.94]"
5,"[1241, 4606]","[1767.04, 5186.84]"
6,"[1229, 4606]","[1673.8, 5074.44]"
7,"[1229, 4606]","[1587.78, 5014.58]"
8,"[1229, 4606]","[1514.3, 4958.06]"
9,"[1229, 4604]","[1421.96, 4897.94]"
10,"[1229, 4529]","[1345.88, 4836.5]"
11,"[1229, 4529]","[1310.74, 4792.4]"
12,"[1229, 4529]","[1272.18, 4760.44]"
13,"[1229, 4225]","[1235.72, 4716.02]"
14,"[1229, 4225]","[1233.32, 4659.66]"
15,"[1229, 4225]","[1230.2, 4621.66]"
16,"[1229, 4225]","[1229.0, 4609.58]"
17,"[1229, 4225]","[1229.0, 4608.58]"
18,"[1229, 4225]","[1229.0, 4600.24]"
19,"[1229, 4225]","[1229.0, 4594.76]"
20,"[1229, 4225]","[1229.0, 4579.18]"
21,"[1229, 4149]","[1229.0, 4544.04]"
22,"[1157, 4149]","[1227.56, 4537.36]"
23,"[1157, 4149]","[1226.34, 4533.68]"
24,"[1157, 4149]","[1226.34, 4525.5]"
25,"[1157, 4149]","[1225.12, 4510.22]"
26,"[1157, 4149]","[1222.68, 4499.22]"
27,"[1157, 4141]","[1221.46, 4483.3]"
28,"[1157, 4141]","[1220.24, 4465.4]"
29,"[1157, 4141]","[1219.02, 4445.36]"
30,"[1157, 4141]","[1217.8, 4426.06]"
31,"[1157, 4141]","[1217.8, 4423.62]"
32,"[1157, 4141]","[1215.76, 4419.96]"
33,"[1156, 4141]","[1213.08, 4416.6]"
34,"[1156, 4141]","[1211.04, 4415.76]"
35,"[1156, 4141]","[1207.78, 4410.7]"
36,"[1156, 4141]","[1205.34, 4403.38]"
37,"[1156, 4141]","[1201.44, 4403.38]"
38,"[1156, 4020]","[1198.76, 4376.86]"
39,"[1156, 4020]","[1195.1, 4347.76]"
40,"[1156, 4020]","[1192.66, 4322.24]"
41,"[1156, 4020]","[1187.78, 4311.44]"
42,"[1156, 4020]","[1179.24, 4300.08]"
43,"[1156, 4020]","[1170.7, 4292.78]"
44,"[1156, 4020]","[1167.06, 4291.24]"
45,"[1156, 4020]","[1167.06, 4291.02]"
46,"[1156, 4020]","[1167.06, 4289.82]"
47,"[1156, 4020]","[1167.06, 4286.08]"
48,"[1156, 4020]","[1167.06, 4286.08]"
49,"[1156, 4020]","[1167.06, 4282.44]"
50,"[1012, 4020]","[1163.94, 4276.06]"
51,"[1012, 4020]","[1163.94, 4273.04]"
52,"[1012, 4020]","[1163.94, 4266.04]"
53,"[1012, 4020]","[1163.94, 4256.94]"
54,"[1012, 4020]","[1163.94, 4245.94]"
55,"[1012, 4020]","[1163.94, 4236.4]"
56,"[1012, 4020]","[1163.94, 4234.24]"
57,"[1012, 4020]","[1163.94, 4232.98]"
58,"[1012, 4020]","[1163.94, 4232.42]"
59,"[1012, 4020]","[1163.94, 4232.14]"
60,"[1012, 4020]","[1163.94, 4232.14]"
61,"[1012, 4020]","[1163.94, 4232.14]"
62,"[1012, 4020]","[1163.94, 4232.14]"
63,"[1012, 4020]","[1163.94, 4232.14]"
64,"[1012, 4020]","[1163.94, 4232.14]"
65,"[1012, 4020]","[1163.94, 4232.14]"
66,"[1012, 4020]","[1163.94, 4232.14]"
67,"[1012, 4020]","[1163.94, 4232.14]"
68,"[1012, 4020]","[1163.94, 4232.14]"
69,"[1012, 4020]","[1163.94, 4232.14]"
70,"[1012, 4020]","[1163.94, 4232.14]"
71,"[1012, 4020]","[1163.94, 4232.14]"
72,"[1012, 4020]","[1163.94, 4232.14]"
73,"[1012, 4020]","[1163.94, 4232.14]"
