122,"[1256, 3874]","[1256.0, 4319.46]"
123,"[1256, 3874]","[1256.0, 4319.46]"
124,"[1256, 3874]","[1256.0, 4319.46]"
125,"[1256, 3874]","[1256.0, 4319.46]"
126,"[1256, 3874]","[1256.0, 4319.46]"
127,"[1256, 3874]","[1256.0, 4319.46]"
128,"[1256, 3874]","[1256.0, 4319.46]"
129,"[1256, 3874]","[1256.0, 4319.46]"
130,"[1256, 3874]","[1256.0, 4319.46]"
131,"[1256, 3874]","[1256.0, 4319.46]"
132,"[1256, 3874]","[1256.0, 4319.46]"
133,"[1256, 3874]","[1256.0, 4319.46]"
134,"[1256, 3874]","[1256.0, 4319.46]"
135,"[1256, 3874]","[1256.0, 4319.46]"
136,"[1256, 3874]","[1256.0, 4319.46]"
137,"[1256, 3874]","[1256.0, 4319.46]"
138,"[1256, 3874]","[1256.0, 4319.46]"
139,"[1256, 3874]","[1256.0, 4319.46]"
140,"[1256, 3874]","[1256.0, 4319.46]"
141,"[1256, 3874]","[1256.0, 4319.46]"
142,"[1256, 3874]","[1256.0, 4319.46]"
143,"[1256, 3874]","[1256.0, 4319.46]"
144,"[1256, 3874]","[1256.0, 4319.46]"
145,"[1256, 3874]","[1256.0, 4319.46]"
146,"[1256, 3874]","[1256.0, 4319.46]"
147,"[1256, 3874]","[1256.0, 4319.46]"
148,"[1256, 3874]","[1256.0, 4319.46]"
149,"[1256, 3874]","[1256.0, 4319.46]"
150,"[1256, 3874]","[1256.0, 4319.34]"
151,"[1256, 3874]","[1256.0, 4319.34]"
152,"[1256, 3874]","[1256.0, 4319.22]"
153,"[1256, 3874]","[1256.0, 4319.22]"
154,"[1256, 3874]","[1256.0, 4319.22]"
155,"[1256, 3874]","[1256.0, 4319.22]"
156,"[1256, 3874]","[1256.0, 4319.22]"
157,"[1256, 3874]","[1256.0, 4319.22]"
158,"[1256, 3874]","[1256.0, 4319.22]"
159,"[1256, 3874]","[1256.0, 4319.22]"
160,"[1256, 3874]","[1256.0, 4319.22]"
161,"[1256, 3874]","[1256.0, 4319.22]"
162,"[1256, 3874]","[1256.0, 4319.22]"
163,"[1256, 3874]","[1256.0, 4319.22]"
164,"[1256, 3874]","[1256.0, 4319.22]"
165,"[1256, 3874]","[1256.0, 4319.22]"
166,"[1256, 3874]","[1256.0, 4319.22]"
167,"[1256, 3874]","[1256.0, 4319.22]"
168,"[1256, 3874]","[1256.0, 4319.22]"
169,"[1256, 3874]","[1256.0, 4319.22]"
170,"[1256, 3874]","[1256.0, 4319.22]"
171,"[1256, 3874]","[1256.0, 4319.22]"
172,"[1256, 3874]","[1256.0, 4319.22]"
173,"[1256, 3874]","[1256.0, 4319.22]"
174,"[1256, 3874]","[1256.0, 4319.22]"
175,"[1256, 3874]","[1256.0, 4319.22]"
176,"[1256, 3874]","[1256.0, 4319.22]"
177,"[1256, 3874]","[1256.0, 4319.22]"
178,"[1256, 3874]","[1256.0, 4319.22]"
179,"[1256, 3874]","[1256.0, 4319.22]"
180,"[1256, 3874]","[1256.0, 4319.22]"
181,"[1256, 3874]","[1256.0, 4319.22]"
182,"[1256, 3874]","[1256.0, 4319.22]"
183,"[1256, 3874]","[1256.0, 4319.22]"
184,"[1256, 3874]","[1256.0, 4319.22]"
185,"[1256, 3874]","[1256.0, 4319.22]"
186,"[1256, 3874]","[1256.0, 4319.22]"
187,"[1256, 3874]","[1256.0, 4319.22]"
188,"[1256, 3874]","[1256.0, 4319.22]"
189,"[1256, 3874]","[1256.0, 4319.22]"
190,"[1256, 3874]","[1256.0, 4319.22]"
191,"[1256, 3874]","[1256.0, 4319.22]"
192,"[1256, 3874]","[1256.0, 4319.22]"
193,"[1256, 3874]","[1256.0, 4319.22]"
194,"[1256, 3874]","[1256.0, 4319.22]"
195,"[1256, 3874]","[1256.0, 4319.22]"
196,"[1256, 3874]","[1256.0, 4319.22]"
197,"[1256, 3874]","[1256.0, 4319.22]"
198,"[1256, 3874]","[1256.0, 4319.22]"
199,"[1256, 3874]","[1256.0, 4319.22]"
200,"[1256, 3874]","[1256.0, 4319.22]"
201,"[1256, 3874]","[1256.0, 4319.22]"
202,"[1256, 3874]","[1256.0, 4319.22]"
203,"[1256, 3874]","[1256.0, 4319.22]"
204,"[1256, 3874]","[1256.0, 4319.22]"
205,"[1256, 3874]","[1256.0, 4319.22]"
206,"[1256, 3874]","[1256.0, 4319.22]"
207,"[1256, 3874]","[1256.0, 4319.22]"
208,"[1256, 3874]","[1256.0, 4319.22]"
209,"[1256, 3874]","[1256.0, 4319.22]"
210,"[1256, 3874]","[1256.0, 4319.22]"
211,"[1256, 3874]","[1256.0, 4319.22]"
212,"[1256, 3874]","[1256.0, 4319.22]"
213,"[1256, 3874]","[1256.0, 4319.22]"
214,"[1256, 3874]","[1256.0, 4319.22]"
215,"[1256, 3874]","[1256.0, 4319.22]"
216,"[1256, 3874]","[1256.0, 4319.22]"
217,"[1256, 3874]","[1256.0, 4319.22]"
218,"[1256, 3874]","[1256.0, 4319.22]"
219,"[1256, 3874]","[1256.0, 4319.22]"
220,"[1256, 3874]","[1256.0, 4319.22]"
221,"[1256, 3874]","[1256.0, 4319.22]"
222,"[1256, 3874]","[1256.0, 4319.22]"
223,"[1256, 3874]","[1256.0, 4319.22]"
224,"[1256, 3874]","[1256.0, 4318.48]"
225,"[1256, 3874]","[1256.0, 4318.48]"
226,"[1256, 3874]","[1256.0, 4317.74]"
227,"[1256, 3874]","[1256.0, 4317.74]"
228,"[1256, 3874]","[1256.0, 4317.74]"
229,"[1256, 3874]","[1256.0, 4317.0]"
230,"[1256, 3874]","[1256.0, 4317.0]"
231,"[1256, 3874]","[1256.0, 4317.0]"
232,"[1256, 3874]","[1256.0, 4317.0]"
233,"[1256, 3874]","[1256.0, 4317.0]"
234,"[1256, 3874]","[1256.0, 4317.0]"
235,"[1256, 3874]","[1256.0, 4317.0]"
236,"[1256, 3874]","[1256.0, 4317.0]"
237,"[1256, 3874]","[1256.0, 4317.0]"
238,"[1256, 3874]","[1256.0, 4317.0]"
239,"[1256, 3874]","[1256.0, 4317.0]"
240,"[1256, 3874]","[1256.0, 4317.0]"
241,"[1256, 3874]","[1256.0, 4317.0]"
242,"[1256, 3874]","[1256.0, 4317.0]"
243,"[1256, 3874]","[1256.0, 4317.0]"
244,"[1256, 3874]","[1256.0, 4317.0]"
245,"[1256, 3874]","[1256.0, 4317.0]"
246,"[1256, 3874]","[1256.0, 4317.0]"
247,"[1256, 3874]","[1256.0, 4317.0]"
248,"[1256, 3874]","[1256.0, 4317.0]"
249,"[1256, 3874]","[1256.0, 4317.0]"
250,"[1256, 3874]","[1256.0, 4317.0]"
251,"[1256, 3874]","[1256.0, 4317.0]"
252,"[1256, 3874]","[1256.0, 4317.0]"
253,"[1256, 3874]","[1256.0, 4317.0]"
254,"[1256, 3874]","[1256.0, 4317.0]"
255,"[1256, 3874]","[1256.0, 4317.0]"
256,"[1256, 3874]","[1256.0, 4317.0]"
257,"[1256, 3874]","[1256.0, 4317.0]"
258,"[1256, 3874]","[1256.0, 4317.0]"
259,"[1256, 3874]","[1256.0, 4317.0]"
260,"[1256, 3874]","[1256.0, 4317.0]"
261,"[1256, 3874]","[1256.0, 4317.0]"
262,"[1256, 3874]","[1256.0, 4317.0]"
263,"[1256, 3874]","[1256.0, 4317.0]"
264,"[1256, 3874]","[1256.0, 4317.0]"
265,"[1256, 3874]","[1256.0, 4317.0]"
266,"[1256, 3874]","[1256.0, 4317.0]"
267,"[1256, 3874]","[1256.0, 4317.0]"
268,"[1256, 3874]","[1256.0, 4317.0]"
269,"[1256, 3874]","[1256.0, 4317.0]"
270,"[1256, 3874]","[1256.0, 4317.0]"
271,"[1256, 3874]","[1256.0, 4317.0]"
272,"[1256, 3874]","[1256.0, 4317.0]"
273,"[1256, 3874]","[1256.0, 4317.0]"
274,"[1256, 3874]","[1256.0, 4317.0]"
275,"[1256, 3874]","[1256.0, 4317.0]"
276,"[1256, 3874]","[1256.0, 4317.0]"
277,"[1256, 3874]","[1256.0, 4317.0]"
278,"[1256, 3874]","[1256.0, 4317.0]"
279,"[1256, 3874]","[1256.0, 4317.0]"
280,"[1256, 3874]","[1256.0, 4317.0]"
281,"[1256, 3874]","[1256.0, 4317.0]"
282,"[1256, 3874]","[1256.0, 4317.0]"
283,"[1256, 3874]","[1256.0, 4317.0]"
284,"[1256, 3874]","[1256.0, 4317.0]"
285,"[1256, 3874]","[1256.0, 4317.0]"
286,"[1256, 3874]","[1256.0, 4317.0]"
287,"[1256, 3874]","[1256.0, 4317.0]"
288,"[1256, 3874]","[1256.0, 4317.0]"
289,"[1256, 3874]","[1256.0, 4317.0]"
290,"[1256, 3874]","[1256.0, 4317.0]"
291,"[1256, 3874]","[1256.0, 4317.0]"
292,"[1256, 3874]","[1256.0, 4317.0]"
293,"[1256, 3874]","[1256.0, 4317.0]"
294,"[1256, 3874]","[1256.0, 4317.0]"
295,"[1256, 3874]","[1256.0, 4317.0]"
296,"[1256, 3874]","[1256.0, 4317.0]"
297,"[1256, 3874]","[1256.0, 4317.0]"
298,"[1256, 3874]","[1256.0, 4317.0]"
299,"[1256, 3874]","[1256.0, 4317.0]"
300,"[1256, 3874]","[1256.0, 4317.0]"
301,"[1256, 3874]","[1256.0, 4317.0]"
302,"[1256, 3874]","[1256.0, 4317.0]"
303,"[1256, 3874]","[1256.0, 4317.0]"
304,"[1256, 3874]","[1256.0, 4317.0]"
305,"[1256, 3874]","[1256.0, 4317.0]"
306,"[1256, 3874]","[1256.0, 4317.0]"
307,"[1256, 3874]","[1256.0, 4317.0]"
308,"[1256, 3874]","[1256.0, 4317.0]"
309,"[1256, 3874]","[1256.0, 4317.0]"
310,"[1256, 3874]","[1256.0, 4317.0]"
311,"[1256, 3874]","[1256.0, 4317.0]"
312,"[1256, 3874]","[1256.0, 4317.0]"
313,"[1256, 3874]","[1256.0, 4317.0]"
314,"[1256, 3874]","[1256.0, 4317.0]"
315,"[1256, 3874]","[1256.0, 4317.0]"
316,"[1256, 3874]","[1256.0, 4317.0]"
317,"[1256, 3874]","[1256.0, 4317.0]"
318,"[1256, 3874]","[1256.0, 4317.0]"
319,"[1256, 3874]","[1256.0, 4317.0]"
320,"[1256, 3874]","[1256.0, 4317.0]"
321,"[1256, 3874]","[1256.0, 4317.0]"
322,"[1256, 3874]","[1256.0, 4317.0]"
323,"[1256, 3874]","[1256.0, 4317.0]"
324,"[1256, 3874]","[1256.0, 4317.0]"
325,"[1256, 3874]","[1256.0, 4317.0]"
326,"[1256, 3874]","[1256.0, 4317.0]"
327,"[1256, 3874]","[1256.0, 4317.0]"
328,"[1256, 3874]","[1256.0, 4317.0]"
329,"[1256, 3874]","[1256.0, 4317.0]"
330,"[1256, 3874]","[1256.0, 4317.0]"
331,"[1256, 3874]","[1256.0, 4317.0]"
332,"[1256, 3874]","[1256.0, 4317.0]"
333,"[1256, 3874]","[1256.0, 4317.0]"
334,"[1256, 3874]","[1256.0, 4317.0]"
335,"[1256, 3874]","[1256.0, 4317.0]"
336,"[1256, 3874]","[1256.0, 4317.0]"
337,"[1256, 3874]","[1256.0, 4317.0]"
338,"[1256, 3874]","[1256.0, 4317.0]"
339,"[1256, 3874]","[1256.0, 4317.0]"
340,"[1256, 3874]","[1256.0, 4317.0]"
341,"[1256, 3874]","[1256.0, 4317.0]"
342,"[1256, 3874]","[1256.0, 4317.0]"
343,"[1256, 3874]","[1256.0, 4317.0]"
344,"[1256, 3874]","[1256.0, 4317.0]"
345,"[1256, 3874]","[1256.0, 4317.0]"
346,"[1256, 3874]","[1256.0, 4317.0]"
347,"[1256, 3874]","[1256.0, 4317.0]"
348,"[1256, 3874]","[1256.0, 4317.0]"
349,"[1256, 3874]","[1256.0, 4317.0]"
350,"[1256, 3874]","[1256.0, 4317.0]"
351,"[1256, 3874]","[1256.0, 4317.0]"
352,"[1256, 3874]","[1256.0, 4317.0]"
353,"[1256, 3874]","[1256.0, 4317.0]"
354,"[1256, 3874]","[1256.0, 4317.0]"
355,"[1256, 3874]","[1256.0, 4317.0]"
356,"[1256, 3874]","[1256.0, 4317.0]"
357,"[1256, 3874]","[1256.0, 4317.0]"
358,"[1256, 3874]","[1256.0, 4317.0]"
359,"[1256, 3874]","[1256.0, 4317.0]"
360,"[1256, 3874]","[1256.0, 4317.0]"
361,"[1256, 3874]","[1256.0, 4317.0]"
362,"[1256, 3874]","[1256.0, 4317.0]"
363,"[1256, 3874]","[1256.0, 4317.0]"
364,"[1256, 3874]","[1256.0, 4317.0]"
365,"[1256, 3874]","[1256.0, 4317.0]"
366,"[1256, 3874]","[1256.0, 4317.0]"
367,"[1256, 3874]","[1256.0, 4317.0]"
368,"[1256, 3874]","[1256.0, 4317.0]"
369,"[1256, 3874]","[1256.0, 4317.0]"
370,"[1256, 3874]","[1256.0, 4317.0]"
371,"[1256, 3874]","[1256.0, 4317.0]"
372,"[1256, 3874]","[1256.0, 4317.0]"
373,"[1256, 3874]","[1256.0, 4317.0]"
374,"[1256, 3874]","[1256.0, 4317.0]"
375,"[1256, 3874]","[1256.0, 4317.0]"
376,"[1256, 3874]","[1256.0, 4317.0]"
377,"[1256, 3874]","[1256.0, 4317.0]"
